batch_name,students,schedule
batch_41,"500110161, 500109606, 500107221, 500110030, 500110165, 500109916, 500110178, 500109495, 500110149, 500101737, 500110011, 500109971, 500109666, 500109505, 500110073, 500110135, 500109887, 500106692, 500109801, 500109802","Monday 9:00-10:30 AM, Tuesday 9:00-10:30 AM, Wednesday 9:00-10:30 AM, Thursday 9:00-10:30 AM, Friday 9:00-10:30 AM, Monday 1:00-2:30 PM, Tuesday 1:00-2:30 PM, Wednesday 1:00-2:30 PM, Thursday 1:00-2:30 PM, Friday 1:00-2:30 PM"
batch_42,"500107112, 500108613, 500110139, 500109917, 500110516, 500110005, 500109809, 500109564, 500110211, 500110486, 500110210, 500110068, 500110160, 500106680, 500109330, 500110539, 500110141, 500110142, 500110167, 500109899","Monday 11:00-12:30 PM, Tuesday 11:00-12:30 PM, Wednesday 11:00-12:30 PM, Thursday 11:00-12:30 PM, Friday 11:00-12:30 PM, Monday 3:00-4:30 PM, Tuesday 3:00-4:30 PM, Wednesday 3:00-4:30 PM, Thursday 3:00-4:30 PM, Friday 3:00-4:30 PM"
